,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
475,4,5,2,4.0,4.0,3.0,Walk,None,,Walk,Bus,None,0.0
476,2,4,1,4.0,5.0,4.0,Bus,Walk,Car,Bus,Car,Walk,0.0
477,3,2,1,3.0,2.0,4.0,Bus,Tram,Walk,Cycle,Other,Tram,2.0
478,4,6,1,4.0,4.0,2.0,Car,Walk,Bus,Car,Bus,Walk,1.0
479,2,6,1,2.0,3.0,2.0,Car,Walk,Bus,Car,Walk,Bus,2.0
480,5,1,2,3.0,4.0,4.0,Bus,Walk,Car,Bus,Car,Walk,2.0
481,2,3,1,4.0,4.0,2.0,Car,Bus,Walk,Car,Bus,Walk,1.0
482,3,7,2,3.0,3.0,3.0,Car,Walk,Bus,Car,Walk,Bus,1.0
483,4,4,2,5.0,5.0,5.0,Walk,None,,Walk,None,,0.0
484,5,4,1,4.0,4.0,3.0,Walk,Car,None,Walk,Car,Bus,1.0
485,2,3,2,2.0,2.0,2.0,Walk,Car,Bus,Walk,Car,Bus,1.0
486,4,6,1,3.0,3.0,3.0,Walk,Car,Bus,Walk,Bus,Car,1.0
487,2,1,2,5.0,4.0,4.0,Walk,Bus,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
488,5,4,2,3.0,1.0,2.0,Walk,Car,Bus,Bus,Car,Walk,1.0
489,3,3,1,5.0,1.0,4.0,Walk,Car,None,Walk,Car,None,2.0
490,4,5,2,2.0,2.0,2.0,Car,Walk,Bus,Car,Bus,Walk,2.0
491,2,1,1,5.0,5.0,1.0,Car,Bus,Walk,Bus,Taxi/Private hire car,Walk,2.0
492,3,6,1,2.0,2.0,2.0,Car,Walk,None,Car,Bus,Walk,1.0
494,4,6,2,5.0,5.0,5.0,Walk,Bus,None,Bus,Walk,None,0.0
495,3,5,1,4.0,1.0,1.0,Car,Bus,Walk,Car,Walk,Bus,2.0
